Neighborhood,Sublocality,City,Property Type,Price (INR),Area (sq ft),Bedrooms,Price per sq ft,Monthly Rent (INR),Schools Nearby,Hospitals Nearby,Public Transport,Amenities,Community Sentiment,Crime Rate,Professions,General Income (INR)
Koregaon Park,North Main Road,Pune,Apartment,18500000,1600,3,11563,50000,8,7,Very High,Gym,Very High,Low,"(Investment Banker, Entrepreneur, Senior Executive)",200000-800000
Baner,Baner Road,Pune,Apartment,14500000,1400,3,10357,38000,7,6,High,Clubhouse,High,Low,"(Software Engineer, Consultant, IT Director)",150000-500000
Balewadi,Balewadi High Street,Pune,Penthouse,16500000,2400,4,6875,85000,9,7,Very High,Swimming Pool,Very High,Low,"(Startup Founder, Senior Executive, Investor)",300000+
Aundh,DP Road,Pune,Apartment,13500000,1500,3,9000,40000,7,6,High,Gated Security,High,Low,"(Doctor, Lawyer, Business Owner)",120000-400000
Aundh,Westend Colony,Pune,Apartment,13800000,1550,3,8900,42000,8,6,High,Clubhouse,High,Low,"(Bank Manager, Consultant, Architect)",120000-350000
Aundh,Sanghvi Nagar,Pune,Apartment,9800000,1300,2,7538,27000,6,5,High,Gated Society,High,Low,"(Marketing Executive, Software Engineer, Financial Analyst)",100000-300000
Hinjewadi,Phase 1,Pune,Apartment,12500000,1400,3,8929,35000,7,6,High,Gym,High,Low,"(Software Developer, Data Scientist, Product Manager)",100000-350000
Hinjewadi,Phase 2,Pune,Apartment,11500000,1300,3,8846,33000,6,5,High,Swimming Pool,High,Low,"(IT Consultant, Business Analyst, Software Tester)",80000-250000
Hinjewadi,Phase 3,Pune,Apartment,11000000,1250,2,8800,31000,5,5,High,Parking,High,Low,"(HR Manager, Data Engineer, QA Engineer)",75000-220000
Wakad,Dutta Mandir Road,Pune,Apartment,9800000,1300,3,7538,27000,6,5,High,Gated Society,High,Low,"(Software Engineer, Financial Analyst, Architect)",100000-300000
Wakad,Kaspate Vasti,Pune,Apartment,9600000,1200,3,8000,26000,5,4,High,Security,High,Low,"(Sales Executive, HR Professional, Business Consultant)",80000-250000
